run_name,status,experiment_type,classifier_label,preprocessing.mode,preprocessing.image_size,feature_extraction.backbone,classifier.name,classifier.params,loaded_from_cache,fit_time_seconds,feature_dir,model,accuracy,precision_macro,recall_macro,f1_macro,wrong_predictions,total_samples,error_rate,roc_auc
103__mode-augmented__size-224__backbone-efficientnet_b0__clf-svmlinear_c1.0,ok,base,SVMLinear_C1.0,augmented,224,efficientnet_b0,svm_linear,"{""C"": 1.0, ""probability"": true, ""class_weight"": null}",True,13.462092,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,103__mode-augmented__size-224__backbone-efficientnet_b0__clf-svmlinear_c1.0,0.9930209371884346,0.9930219242789322,0.9930219242789322,0.9930209371884346,7,1003,0.006979062811565304,0.9999165016580385
038__mode-center_crop__size-224__backbone-efficientnet_b0__clf-rf_n100_depthnone,ok,base,RF_n100_depthNone,center_crop,224,efficientnet_b0,random_forest,"{""n_estimators"": 100, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,33.488929,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-center_crop__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,038__mode-center_crop__size-224__backbone-efficientnet_b0__clf-rf_n100_depthnone,0.9930209371884346,0.993041472821981,0.9930179481674102,0.9930208261886515,7,1003,0.006979062811565304,0.9998031824796622
126__mode-augmented__size-224__backbone-vgg16__clf-rf_n100_depthnone,ok,base,RF_n100_depthNone,augmented,224,vgg16,random_forest,"{""n_estimators"": 100, ""max_depth"": null, ""n_jobs"": -1, ""class_weight"": null}",True,17.090304,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-vgg16__pretrained-true,126__mode-augmented__size-224__backbone-vgg16__clf-rf_n100_depthnone,0.9920239282153539,0.9920298210735586,0.9920259083426772,0.9920239202869162,8,1003,0.007976071784646061,0.9997355885837885
120__mode-augmented__size-224__backbone-resnet18__clf-stacking_default,ok,ensemble,Stacking_default,augmented,224,resnet18,stacking,"{""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}, ""final_max_iter"": 3000}",True,128.207189,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-resnet18__pretrained-true,120__mode-augmented__size-224__backbone-resnet18__clf-stacking_default,0.9920239282153539,0.9920239202869162,0.9920239202869162,0.9920239202869162,8,1003,0.007976071784646061,0.9997375766395497
004__mode-stretch__size-224__backbone-efficientnet_b0__clf-svmlinear_c1.0,ok,base,SVMLinear_C1.0,stretch,224,efficientnet_b0,svm_linear,"{""C"": 1.0, ""probability"": true, ""class_weight"": null}",True,13.211922,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,004__mode-stretch__size-224__backbone-efficientnet_b0__clf-svmlinear_c1.0,0.9920239282153539,0.99205137381208,0.9920278963984381,0.9920238568588469,8,1003,0.007976071784646061,0.999836979427599
003__mode-stretch__size-224__backbone-efficientnet_b0__clf-svmlinear_c0.1,ok,base,SVMLinear_C0.1,stretch,224,efficientnet_b0,svm_linear,"{""C"": 0.1, ""probability"": true, ""class_weight"": null}",True,13.222271,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,003__mode-stretch__size-224__backbone-efficientnet_b0__clf-svmlinear_c0.1,0.9920239282153539,0.99205137381208,0.9920278963984381,0.9920238568588469,8,1003,0.007976071784646061,0.999836979427599
069__mode-letterbox__size-224__backbone-efficientnet_b0__clf-svmlinear_c0.1,ok,base,SVMLinear_C0.1,letterbox,224,efficientnet_b0,svm_linear,"{""C"": 0.1, ""probability"": true, ""class_weight"": null}",True,14.687106,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,069__mode-letterbox__size-224__backbone-efficientnet_b0__clf-svmlinear_c0.1,0.9920239282153539,0.99205137381208,0.9920278963984381,0.9920238568588469,8,1003,0.007976071784646061,0.9998846927658627
070__mode-letterbox__size-224__backbone-efficientnet_b0__clf-svmlinear_c1.0,ok,base,SVMLinear_C1.0,letterbox,224,efficientnet_b0,svm_linear,"{""C"": 1.0, ""probability"": true, ""class_weight"": null}",True,14.879481,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,070__mode-letterbox__size-224__backbone-efficientnet_b0__clf-svmlinear_c1.0,0.9920239282153539,0.99205137381208,0.9920278963984381,0.9920238568588469,8,1003,0.007976071784646061,0.9998846927658627
119__mode-augmented__size-224__backbone-resnet18__clf-votingsoft_default,ok,ensemble,VotingSoft_default,augmented,224,resnet18,voting_soft,"{""voting"": ""soft"", ""n_jobs"": -1, ""lr"": {""C"": 0.1, ""max_iter"": 3000, ""n_jobs"": -1}, ""svm"": {""C"": 0.1, ""probability"": true}, ""rf"": {""n_estimators"": 100, ""n_jobs"": -1}}",True,26.265398,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-augmented__size-224__norm-imagenet__backbone-resnet18__pretrained-true,119__mode-augmented__size-224__backbone-resnet18__clf-votingsoft_default,0.9920239282153539,0.9920336705156345,0.9920219322311552,0.9920238568588469,8,1003,0.007976071784646061,0.9997296244165057
030__mode-stretch__size-224__backbone-vgg16__clf-rf_n200_depth20,ok,base,RF_n200_depth20,stretch,224,vgg16,random_forest,"{""n_estimators"": 200, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,35.041547,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-stretch__size-224__norm-imagenet__backbone-vgg16__pretrained-true,030__mode-stretch__size-224__backbone-vgg16__clf-rf_n200_depth20,0.9920239282153539,0.9920336705156345,0.9920219322311552,0.9920238568588469,8,1003,0.007976071784646061,0.9996978155243298
072__mode-letterbox__size-224__backbone-efficientnet_b0__clf-rf_n100_depth20,ok,base,RF_n100_depth20,letterbox,224,efficientnet_b0,random_forest,"{""n_estimators"": 100, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,33.183034,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-letterbox__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,072__mode-letterbox__size-224__backbone-efficientnet_b0__clf-rf_n100_depth20,0.9920239282153539,0.9921001352103714,0.9920179561196332,0.9920235397033679,8,1003,0.007976071784646061,0.999825051093033
041__mode-center_crop__size-224__backbone-efficientnet_b0__clf-rf_n200_depth20,ok,base,RF_n200_depth20,center_crop,224,efficientnet_b0,random_forest,"{""n_estimators"": 200, ""max_depth"": 20, ""n_jobs"": -1, ""class_weight"": null}",True,65.851035,/content/cat-dog-image-classifier/features/grid_search_exhaustive_132/mode-center_crop__size-224__norm-imagenet__backbone-efficientnet_b0__pretrained-true,041__mode-center_crop__size-224__backbone-efficientnet_b0__clf-rf_n200_depth20,0.9920239282153539,0.9921001352103714,0.9920179561196332,0.9920235397033679,8,1003,0.007976071784646061,0.9998051705354232
